Case Number,Case Type,Address,Description,Case Group,Date Case Created,Last Inspection Date,Last Inspection Result,Status,Permit and Complaint Status URL,Latitude,Longitude,Location
1029576,CITATION,10129 RAINIER AVE S,"Outdoor junk storage, trash, litter and garbage.",ZONING,05/09/2013,05/08/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029576,47.510763,-122.24493633,"(47.510763, -122.24493633)"
1029575,CONSTRUCTION,5037 49TH AVE SW,Constructing a new carport requires a permit and inspections from DPD. STOP WORK ORDER posted 5/8/13.,BUILDING,05/09/2013,05/08/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029575,47.556321,-122.395382,"(47.556321, -122.395382)"
1029574,CONSTRUCTION,2656 NW 63RD ST,Excavation & shoring requires permit.,BUILDING,05/09/2013,05/07/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029574,47.67468,-122.392539,"(47.67468, -122.392539)"
1029573,CITATION,9663 51ST AVE S,An inoperable vehicle on the property.,ZONING,05/09/2013,05/08/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029573,47.514985,-122.270615,"(47.514985, -122.270615)"
1029572,HOUSING / ZONING,6415 46TH AVE S,Violation of the Just Cause Eviction Ordinance (Seattle Municipal Code Section 22.206.160(C)),JUST CAUSE EVICTION,05/09/2013,05/09/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029572,47.54459464,-122.27574987,"(47.54459464, -122.27574987)"
1029571,CITATION,10801 66TH AVE S,Bags of garbage in the back yard.,ZONING,05/09/2013,05/08/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029571,47.50326579,-122.25053447,"(47.50326579, -122.25053447)"
1029570,CITATION,1710 NW 64TH ST,"Int Insp 4/29/13 DG I went to the site, no one of authority for the contractor was on the premises. Rich is still the superintendent for Kauhari Construction.",CONSTRUCTION NOISE,05/09/2013,04/29/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029570,47.675565,-122.379495,"(47.675565, -122.379495)"
1029569,CITATION,8349 39TH AVE S,Seven vehicles parked on the property.,ZONING,05/08/2013,05/08/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029569,47.528031,-122.284018,"(47.528031, -122.284018)"
1029568,HOUSING / ZONING,8847 18TH AVE SW,"05/03/13 Vacant, open, junk and overgrown",VACANT BUILDING,05/08/2013,05/03/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029568,47.52335459,-122.35810938,"(47.52335459, -122.35810938)"
1029567,HOUSING / ZONING,3418 33RD AVE S,"05/03/13 Vacant, open, overgrown, junk.",VACANT BUILDING,05/08/2013,05/03/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029567,47.571891,-122.290662,"(47.571891, -122.290662)"
1029566,HOUSING / ZONING,4415 S FERDINAND ST,"05/03/13 - Vacant, secure, junk storage, overgrown",VACANT BUILDING,05/08/2013,05/03/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029566,47.558008,-122.277484,"(47.558008, -122.277484)"
1029565,HOUSING / ZONING,141 31ST AVE,"05/03/13 Vacant, unsecure, demo stalled, junk storage",VACANT BUILDING,05/08/2013,05/03/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029565,47.602894,-122.29281,"(47.602894, -122.29281)"
1029564,CITATION,1710 NW 64TH ST,"Int Insp 4/29/13 DG I went to the site, no one of authority for the contractor was on the premises. Rich is still the superintendent for Kauhari Construction.",CONSTRUCTION NOISE,05/08/2013,04/29/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029564,47.675565,-122.379495,"(47.675565, -122.379495)"
1029563,HOUSING / ZONING,735 N 128TH ST,05/07/13 dw land use violation,HOUSING,05/08/2013,05/07/2013,FAILED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029563,47.722114,-122.348894,"(47.722114, -122.348894)"
1029562,CITATION,4203 BROOKLYN AVE NE,Violation of Weeds & Vegetation Ord-,WEEDS AND VEGETATION,05/08/2013,05/06/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029562,47.65848,-122.314711,"(47.65848, -122.314711)"
1029561,HOUSING / ZONING,1411 34TH AVE,Land Use violation- Use permit expired and never finaled,ZONING,05/08/2013,05/07/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029561,47.613297,-122.289541,"(47.613297, -122.289541)"
1029560,HOUSING / ZONING,909 BOREN AVE,"5/6/13 ej- Observed cars parking in a vacant lot,with no curb cut.",ZONING,05/08/2013,05/06/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029560,47.608972,-122.325087,"(47.608972, -122.325087)"
1029559,CITATION,2822 4TH AVE W,5/6/13 EJ- Observed vegetation encroaching into the street along W Fulton St.,WEEDS AND VEGETATION,05/07/2013,05/06/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029559,47.645664,-122.361922,"(47.645664, -122.361922)"
1029558,CITATION,100 SMITH ST,5/6/13 ej-Observed vegetation encroaching onto the sidewalk along 1st Ave N.,WEEDS AND VEGETATION,05/07/2013,05/06/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029558,47.641599,-122.355373,"(47.641599, -122.355373)"
1029557,CONSTRUCTION,615 E MERCER ST,Remodeling of upper units without permits.,BUILDING,05/07/2013,05/06/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029557,47.624112,-122.323383,"(47.624112, -122.323383)"
1029556,CITATION,2838 SW GENESEE ST,outdoor junk storage,ZONING,05/07/2013,05/06/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029556,47.564967,-122.369875,"(47.564967, -122.369875)"
1029555,CONSTRUCTION,3614 6TH AVE S,Constructing additions & alterations to a warehouse building requires construction & electrical permits from DPD.,BUILDING,05/07/2013,05/03/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029555,47.570835,-122.3256,"(47.570835, -122.3256)"
1029554,CONSTRUCTION,412 N 35TH ST,Construction of roof structure in front yard setback; needs to be removed or obtain permit.,BUILDING,05/07/2013,05/06/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029554,47.651444,-122.353765,"(47.651444, -122.353765)"
1029553,HOUSING / ZONING,4425 CORLISS AVE N,Violation of Land Use- Unpermitted use (outdoor sales- yard sale in rear yard),ZONING,05/07/2013,05/01/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029553,47.661104,-122.331685,"(47.661104, -122.331685)"
1029552,CITATION,620 W HOWE ST,5/6/13 ej-Observed vegetation encroaching onto the sidewalk along 7th Ave. W.,WEEDS AND VEGETATION,05/07/2013,05/06/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029552,47.636124,-122.365947,"(47.636124, -122.365947)"
1029551,HOUSING / ZONING,11726 AURORA AVE N,05/06/13 dw land use violations exists,,05/06/2013,05/06/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029551,47.714923,-122.344487,"(47.714923, -122.344487)"
1029550,CITATION,7504 31ST AVE NE,5.6.13: Violation of Weeds and Vegetation Ordinance observed. -GH,WEEDS AND VEGETATION,05/06/2013,05/06/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029550,47.683202,-122.294523,"(47.683202, -122.294523)"
1029549,HOUSING / ZONING,5314 15TH AVE NW,05/06/13 dw land use violation,,05/06/2013,05/06/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029549,47.667584,-122.37587,"(47.667584, -122.37587)"
1029548,TENANT RELOCATION ORDINANCE,219 22ND AVE S,Application for a Tenant Relocation License. Total units: 1; total units occupied: 1. Substantial Rehabilitation.,,05/06/2013,,,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029548,47.600551,-122.303663,"(47.600551, -122.303663)"
1029547,TENANT RELOCATION ORDINANCE,1220 E SPRING ST,Application for a Tenant Relocation License. Total units: 3; total units occupied: 3. Demolition.,,05/06/2013,,,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029547,47.611722,-122.315709,"(47.611722, -122.315709)"
1029546,CITATION,512 25TH AVE S,land use violation-,ZONING,05/06/2013,,,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029546,47.597602,-122.299667,"(47.597602, -122.299667)"
1029545,HOUSING / ZONING,2715 S LANE ST,Housing Building and Maintenance Code violations observed.,HOUSING,05/06/2013,05/02/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029545,47.596584,-122.296666,"(47.596584, -122.296666)"
1029544,CITATION,518 25TH AVE S,zoning violation-,ZONING,05/06/2013,05/06/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029544,47.597541,-122.299672,"(47.597541, -122.299672)"
1029543,CONSTRUCTION,7732 58TH AVE NE,Construction of deck without permit. (stairs encroach on Park Department property per Parks Dept survey).,BUILDING,05/06/2013,05/02/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029543,47.685698,-122.265964,"(47.685698, -122.265964)"
1029542,HOUSING / ZONING,1410 S COLUMBIAN WAY,Housing violations.,HOUSING,05/06/2013,05/01/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029542,47.57232,-122.314371,"(47.57232, -122.314371)"
1029541,CITATION,3933 SW PORTLAND ST,Parking over 3 vehs & outdoor junk storage,ZONING,05/06/2013,05/03/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029541,47.5326817,-122.38340539,"(47.5326817, -122.38340539)"
1029540,CITATION,5043 40TH AVE SW,outdoor junk storage,ZONING,05/06/2013,05/03/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029540,47.556242,-122.383209,"(47.556242, -122.383209)"
1029539,CITATION,814 16TH AVE,5/2/13 ej- Observed outdoor junk storage such as but not limited to mattress and other household items on the property.,ZONING,05/06/2013,05/02/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029539,47.609756,-122.311066,"(47.609756, -122.311066)"
1029538,CITATION,2118 NE 54TH ST,Violation of Land Use- Parking of more than 3 cars in the required front yard,ZONING,05/03/2013,04/24/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029538,47.668247,-122.304616,"(47.668247, -122.304616)"
1029537,HOUSING / ZONING,727 N 91ST ST,05/02/13 dw HZW violations.,HOUSING,05/03/2013,05/02/2013,FAILED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029537,47.69470479,-122.34869793,"(47.69470479, -122.34869793)"
1029536,CONSTRUCTION,2200 WESTLAKE AVE,Installing a directional monument sign at the corner of 9th Ave & Lenora 2200 Retail Plaza Enter at Terry Ave requires a permit & inspections from DPD. [Correction required: complete Application 6327830 or remove the sign.],SIGNS,05/03/2013,05/06/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029536,47.617832,-122.3373,"(47.617832, -122.3373)"
1029535,CITATION,10725 DAYTON AVE N,05/02/13 dw land use violation.,ZONING,05/03/2013,05/02/2013,FAILED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029535,47.70766115,-122.35309002,"(47.70766115, -122.35309002)"
1029534,HOUSING / ZONING,8300 WABASH AVE S,"Outdoor storage, including but not limited to, inoperable vehicles, junk, litter and trash.",ZONING,05/03/2013,05/02/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029534,47.529385,-122.269493,"(47.529385, -122.269493)"
1029533,HOUSING / ZONING,5037 44TH AVE S,Light and glare from a light fixture on the house is impacting the neighbors.,ZONING,05/03/2013,05/02/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029533,47.555972,-122.278936,"(47.555972, -122.278936)"
1029532,HOUSING / ZONING,3638 34TH AVE S,"Outdoor storage, including but not limited to, vehicles, boats, trailer, junk, litter, trash and construction materials.",ZONING,05/03/2013,05/02/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029532,47.570433,-122.28969,"(47.570433, -122.28969)"
1029531,CITATION,3272 FUHRMAN AVE E,4/30/13 ej- Observed vegetation encroaching onto the sidewalk along Eastlake Ave E.,WEEDS AND VEGETATION,05/02/2013,04/30/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029531,47.651417,-122.320829,"(47.651417, -122.320829)"
1029530,CITATION,1715 16TH AVE S,Weeds and Vegetation violation observed.,WEEDS AND VEGETATION,05/02/2013,04/29/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029530,47.587957,-122.312967,"(47.587957, -122.312967)"
1029529,CITATION,401 35TH AVE S,Land Use Code violations observed.,ZONING,05/02/2013,05/10/2013,PASSED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029529,47.598925,-122.288031,"(47.598925, -122.288031)"
1029528,CITATION,1817 S LANE ST,Land Use Code violations observed.,ZONING,05/02/2013,04/29/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029528,47.596467,-122.308093,"(47.596467, -122.308093)"
1029527,CITATION,736 37TH AVE,Weeds and vegetation violation observed.,WEEDS AND VEGETATION,05/02/2013,04/29/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029527,47.608993,-122.285886,"(47.608993, -122.285886)"
1029526,CONSTRUCTION,1907 E HIGHLAND DR,Violation: Cell equipment installed on the roof without permits.,BUILDING,05/02/2013,04/29/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029526,47.630515,-122.306748,"(47.630515, -122.306748)"
1029525,HOUSING / ZONING,8101 22ND AVE SW,"hbmc violations-Loose handrails, broken wall and ceiling cover, deteriorated deck surfaces.",HOUSING,05/02/2013,08/29/2012,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029525,47.529921,-122.362119,"(47.529921, -122.362119)"
1029524,CONSTRUCTION,7531 BROOKLYN AVE NE,demo permit is required to remove the carport & garage,BUILDING,05/02/2013,05/01/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029524,47.684068,-122.314433,"(47.684068, -122.314433)"
1029523,CONSTRUCTION,1106 6TH AVE W,Illegal accessory dwelling unit(s) in SFR in SF 5000 zone. Permit required to legalize downstairs unit providing owner lives onsite.,BUILDING,05/02/2013,05/01/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029523,47.628964,-122.364139,"(47.628964, -122.364139)"
1029522,CITATION,6011 40TH AVE NE,Violation of Land use- outdoor junk storage,ZONING,05/02/2013,04/24/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029522,47.672584,-122.285199,"(47.672584, -122.285199)"
1029521,HOUSING / ZONING,7326 38TH AVE NE,Land Use Code Violation,ZONING,05/02/2013,04/30/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029521,47.682037,-122.287423,"(47.682037, -122.287423)"
1029520,CITATION,3223 S EDMUNDS ST,Minor outdoor storage of junk and a chair on the front lawn.,ZONING,05/02/2013,05/01/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029520,47.558502,-122.290449,"(47.558502, -122.290449)"
1029519,CITATION,1008 N 109TH ST,,ZONING,05/01/2013,,,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029519,47.70822,-122.345506,"(47.70822, -122.345506)"
1029518,CITATION,7352 14TH AVE NW,05/01/13 dw land use violation,ZONING,05/01/2013,05/01/2013,FAILED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029518,47.682979,-122.373352,"(47.682979, -122.373352)"
1029517,CONSTRUCTION,3426 CASCADIA AVE S,Constructing a tiered rockery over 4' tall with a portion in the Sierra Dr S R-O-W requires a permit and inspections from DPD and SDOT.,BUILDING,05/01/2013,06/01/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029517,47.571657,-122.282727,"(47.571657, -122.282727)"
1029516,HOUSING / ZONING,1909 11TH AVE W,4/30/13 ej- Observed housing code violations.,HOUSING,05/01/2013,04/30/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029516,47.63640297,-122.37202263,"(47.63640297, -122.37202263)"
1029515,HOUSING / ZONING,1707 BELLEVUE AVE,4/30/13 ej-Observed housing code violations.,HOUSING,05/01/2013,04/30/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029515,47.617372,-122.327204,"(47.617372, -122.327204)"
1029514,CITATION,8115 11TH AVE SW,Outdoor junk storage including but not limited to inoperable cars and car parts stored in the req.yards,ZONING,05/01/2013,04/29/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029514,47.529635,-122.34964,"(47.529635, -122.34964)"
1029513,CITATION,7701 15TH AVE SW,Outdoor junk storage including but not limited to tvs and more misc.junk stored in the req.yards,ZONING,05/01/2013,04/29/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029513,47.53355,-122.354253,"(47.53355, -122.354253)"
1029512,HOUSING / ZONING,8808 9TH AVE SW,Housing violations,HOUSING,05/01/2013,04/19/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029512,47.524265,-122.346434,"(47.524265, -122.346434)"
1029511,CITATION,1816 NE 82ND ST,4.30.13: Observed outdoor junk storage in rear yard and vegetation encroaching on sidewalk and street. -GH,ZONING,05/01/2013,04/30/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029511,47.688646,-122.308185,"(47.688646, -122.308185)"
1029510,HOUSING / ZONING,4005 18TH AVE SW,Housing violations.,HOUSING,05/01/2013,04/23/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029510,47.56813,-122.3574,"(47.56813, -122.3574)"
1029509,CITATION,326 31ST AVE,Weeds and Vegetation violation observed.,WEEDS AND VEGETATION,05/01/2013,04/29/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029509,47.605019,-122.29244,"(47.605019, -122.29244)"
1029508,CONSTRUCTION,45 S SPOKANE ST,Unauthorized off-premises inflatable roof sign for Seattle's Best Coffee has been removed as of 5/8/13.,SIGNS,04/30/2013,05/08/2013,PASSED,ENFORCED COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029508,47.571298,-122.337452,"(47.571298, -122.337452)"
1029507,HOUSING / ZONING,9716 33RD AVE SW,"Emergency Order to Correct by 5/7/13 at 1pm- no water, no elec, no heat in occupied sfr",HOUSING,04/30/2013,05/10/2013,PASSED,ENFORCED COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029507,47.516132,-122.374229,"(47.516132, -122.374229)"
1029506,CITATION,9716 33RD AVE SW,outdoor junk storage including major open garbage,ZONING,04/30/2013,05/10/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029506,47.516132,-122.374229,"(47.516132, -122.374229)"
